iter	Passed	Remaining
162	624	3208
163	627	3200
164	630	3192
165	633	3185
166	637	3178
167	643	3187
168	646	3179
169	649	3170
170	652	3162
171	658	3170
172	661	3161
173	664	3152
174	667	3145
175	673	3153
176	676	3145
177	679	3136
178	682	3131
179	690	3144
180	696	3150
181	699	3141
182	705	3148
183	708	3140
184	710	3131
185	713	3123
186	716	3116
187	720	3110
188	723	3102
189	725	3094
190	728	3087
191	734	3092
192	737	3085
193	740	3077
194	743	3069
195	751	3081
196	754	3075
197	757	3067
198	760	3059
199	775	3101
200	781	3108
201	786	3108
202	789	3101
203	792	3093
204	795	3085
205	798	3078
206	805	3085
207	808	3077
208	811	3069
209	814	3062
210	820	3068
211	823	3060
212	826	3052
213	829	3045
214	836	3055
215	839	3047
216	842	3039
217	845	3032
218	851	3037
219	854	3029
220	857	3021
221	860	3015
222	866	3019
223	869	3011
224	872	3004
225	875	2998
226	882	3005
227	886	3000
228	890	2998
229	893	2990
230	899	2994
231	903	2989
232	905	2982
233	908	2974
234	914	2977
235	918	2971
236	920	2964
237	923	2957
238	929	2960
239	934	2958
240	936	2950
241	939	2942
242	946	2948
243	953	2954
244	956	2947
245	967	2965
246	970	2958
247	979	2968
248	983	2967
249	986	2959
250	993	2965
251	996	2958
252	999	2950
253	1002	2943
254	1008	2945
255	1011	2938
256	1013	2931
257	1016	2924
258	1022	2926
259	1025	2919
260	1028	2911
261	1030	2903
262	1033	2895
263	1038	2896
264	1041	2887
265	1043	2879
266	1045	2870
267	1048	2863
268	1054	2864
269	1056	2856
270	1058	2848
271	1061	2840
272	1063	2832
273	1069	2834
274	1072	2826
275	1074	2818
276	1077	2811
277	1079	2803
278	1088	2812
279	1092	2808
280	1094	2800
281	1100	2801
282	1102	2793
283	1105	2786
284	1107	2778
285	1109	2770
286	1115	2770
287	1118	2765
288	1121	2758
289	1123	2750
290	1125	2742
291	1131	2744
292	1139	2749
293	1142	2743
294	1155	2760
295	1157	2752
296	1163	2753
297	1165	2746
298	1168	2739
299	1170	2732
300	1173	2724
301	1181	2730
302	1185	2727
303	1188	2720
304	1190	2712
305	1193	2706
306	1195	2699
307	1198	2691
308	1200	2684
309	1202	2676
310	1208	2676
311	1210	2669
312	1212	2662
313	1215	2654
314	1217	2647
315	1223	2648
316	1226	2641
317	1228	2634
318	1230	2627
319	1233	2620
320	1239	2621
321	1241	2614
322	1244	2607
323	1246	2600
324	1248	2593
325	1254	2594
326	1257	2587
327	1259	2580
328	1261	2573
329	1263	2566
330	1270	2568
331	1272	2561
332	1275	2554
333	1277	2547
334	1279	2540
335	1285	2540
336	1287	2533
337	1290	2526
338	1298	2532
339	1302	2527
340	1305	2523
341	1317	2534
342	1320	2528
343	1333	2542
344	1337	2538
345	1345	2543
346	1349	2539
347	1351	2532
348	1353	2525
349	1361	2528
350	1363	2521
351	1366	2514
352	1368	2508
353	1375	2510
354	1379	2506
355	1383	2502
356	1385	2495
357	1391	2495
358	1394	2489
359	1396	2482
360	1398	2476
361	1401	2469
362	1404	2464
363	1406	2457
364	1409	2451
365	1411	2444
366	1413	2438
367	1419	2437
368	1422	2432
369	1424	2425
370	1426	2419
371	1429	2412
372	1434	2411
373	1437	2405
374	1439	2398
375	1441	2392
376	1443	2386
377	1449	2385
378	1452	2379
379	1454	2372
380	1456	2366
381	1459	2360
382	1465	2361
383	1468	2354
384	1470	2348
385	1472	2342
386	1474	2336
387	1483	2339
388	1486	2335
389	1489	2329
390	1495	2328
391	1497	2322
392	1501	2319
393	1504	2313
394	1509	2311
395	1511	2305
396	1515	2301
397	1519	2298
398	1524	2296
399	1528	2293
400	1549	2315
401	1552	2309
402	1558	2308
403	1560	2302
404	1562	2295
405	1565	2289
406	1567	2283
407	1569	2277
408	1573	2273
409	1576	2267
410	1580	2264
411	1586	2264
412	1588	2257
413	1590	2251
414	1593	2246
415	1596	2240
416	1601	2239
417	1604	2233
418	1606	2227
419	1608	2221
420	1611	2215
421	1617	2215
422	1619	2209
423	1623	2205
424	1625	2199
425	1630	2197
426	1633	2191
427	1635	2186
428	1638	2180
429	1640	2174
430	1642	2168
431	1648	2167
432	1651	2161
433	1653	2156
434	1655	2150
435	1657	2144
436	1664	2144
437	1666	2138
438	1669	2133
439	1671	2127
440	1673	2121
441	1684	2126
442	1687	2121
443	1689	2115
444	1695	2115
445	1700	2111
446	1702	2106
447	1704	2100
448	1710	2099
449	1714	2095
450	1718	2092
451	1723	2088
452	1734	2093
453	1740	2092
454	1743	2087
455	1745	2082
456	1747	2076
457	1750	2070
458	1752	2065
459	1754	2059
460	1757	2054
461	1759	2048
462	1761	2043
463	1769	2043
464	1773	2040
465	1776	2035
466	1781	2033
467	1783	2027
468	1786	2022
469	1788	2016
470	1790	2011
471	1793	2005
472	1795	2000
473	1798	1995
474	1800	1990
475	1802	1984
476	1805	1979
477	1810	1977
478	1813	1972
479	1815	1966
480	1817	1961
481	1820	1956
482	1826	1955
483	1828	1949
484	1831	1944
485	1833	1939
486	1835	1933
487	1841	1932
488	1844	1927
489	1846	1921
490	1848	1916
491	1851	1911
492	1858	1910
493	1860	1905
494	1862	1900
495	1864	1895
496	1867	1889
497	1876	1892
498	1879	1886
499	1881	1881
500	1886	1879
501	1889	1874
502	1892	1869
503	1894	1864
504	1896	1859
505	1902	1857
506	1910	1857
507	1913	1852
508	1926	1858
509	1929	1854
510	1935	1852
511	1937	1847
512	1940	1842
513	1942	1836
514	1945	1831
515	1951	1830
516	1953	1825
517	1956	1820
518	1958	1814
519	1960	1809
520	1968	1809
521	1973	1806
522	1975	1801
523	1980	1799
524	1983	1794
525	1985	1789
526	1988	1784
527	1990	1779
528	1996	1777
529	1998	1772
530	2001	1767
531	2003	1762
532	2005	1757
533	2011	1755
534	2013	1750
535	2016	1745
536	2018	1740
537	2020	1735
538	2025	1732
539	2028	1727
540	2030	1722
541	2032	1717
542	2035	1712
543	2037	1708
544	2043	1705
545	2045	1700
546	2047	1696
547	2050	1691
548	2052	1686
549	2059	1684
550	2061	1679
551	2063	1675
552	2066	1670
553	2068	1665
554	2076	1665
555	2080	1661
556	2083	1656
557	2089	1654
558	2093	1651
559	2096	1646
560	2098	1641
561	2104	1639
562	2113	1640
563	2118	1637
564	2128	1638
565	2131	1634
566	2137	1632
567	2139	1627
568	2142	1622
569	2144	1617
570	2147	1613
571	2149	1608
572	2151	1603
573	2154	1598
574	2156	1593
575	2158	1589
576	2162	1585
577	2166	1581
578	2169	1577
579	2174	1574
580	2177	1570
581	2180	1565
582	2182	1561
583	2184	1556
584	2190	1554
585	2193	1549
586	2195	1544
587	2197	1540
588	2200	1535
589	2205	1532
590	2209	1529
591	2211	1524
592	2214	1519
593	2216	1514
594	2222	1512
595	2224	1507
596	2226	1503
597	2229	1498
598	2231	1493
599	2237	1491
600	2239	1486
601	2241	1482
602	2244	1477
603	2246	1472
604	2252	1470
605	2255	1466
606	2257	1461
607	2259	1456
608	2262	1452
609	2268	1450
610	2274	1447
611	2276	1443
612	2278	1438
613	2285	1436
614	2289	1433
615	2291	1428
616	2294	1424
617	2299	1421
618	2303	1417
619	2307	1414
620	2313	1412
621	2324	1412
622	2330	1410
623	2333	1405
624	2335	1401
625	2338	1397
626	2340	1392
627	2347	1390
628	2349	1385
629	2351	1381
630	2354	1376
631	2356	1372
632	2362	1370
633	2368	1367
634	2370	1362
635	2373	1358
636	2379	1355
637	2381	1351
638	2383	1346
639	2386	1342
640	2388	1337
641	2394	1335
642	2396	1330
643	2398	1326
644	2401	1321
645	2403	1317
646	2409	1314
647	2412	1310
648	2414	1305
649	2417	1301
650	2419	1297
651	2425	1294
652	2427	1290
653	2430	1285
654	2432	1281
655	2434	1276
656	2441	1274
657	2443	1270
658	2445	1265
659	2448	1261
660	2450	1256
661	2457	1254
662	2462	1251
663	2464	1247
664	2471	1244
665	2476	1242
666	2479	1237
667	2481	1233
668	2487	1230
669	2491	1226
670	2493	1222
671	2495	1218
672	2501	1215
673	2505	1211
674	2513	1210
675	2526	1211
676	2529	1206
677	2535	1204
678	2537	1199
679	2540	1195
680	2542	1190
681	2544	1186
682	2550	1183
683	2553	1179
684	2555	1175
685	2557	1170
686	2560	1166
687	2567	1164
688	2570	1160
689	2576	1157
690	2582	1155
691	2585	1150
692	2587	1146
693	2590	1142
694	2592	1137
695	2598	1134
696	2600	1130
697	2603	1126
698	2606	1122
699	2612	1119
700	2614	1115
701	2618	1111
702	2621	1107
703	2627	1104
704	2630	1100
705	2633	1096
706	2635	1092
707	2638	1088
708	2644	1085
709	2647	1081
710	2650	1077
711	2653	1073
712	2660	1070
713	2663	1066
714	2666	1062
715	2669	1058
716	2677	1056
717	2684	1054
718	2691	1051
719	2694	1047
720	2697	1043
721	2708	1042
722	2718	1041
723	2726	1039
724	2729	1035
725	2732	1031
726	2735	1027
727	2742	1024
728	2745	1020
729	2748	1016
730	2751	1012
731	2757	1009
732	2759	1005
733	2761	1000
734	2764	996
735	2766	992
736	2774	990
737	2778	986
738	2781	982
739	2786	979
740	2789	974
741	2791	970
742	2793	966
743	2796	962
744	2802	959
745	2805	955
746	2807	950
747	2810	946
748	2812	942
749	2818	939
750	2820	935
751	2823	931
752	2825	926
753	2827	922
754	2833	919
755	2836	915
756	2838	911
757	2840	906
758	2843	902
759	2849	899
760	2851	895
761	2853	891
762	2856	887
763	2858	882
764	2865	880
765	2867	876
766	2869	871
767	2872	867
768	2874	863
769	2887	862
770	2890	858
771	2896	855
772	2899	851
773	2903	847
774	2906	843
775	2910	840
776	2920	838
777	2923	834
778	2925	829
779	2927	825
780	2930	821
781	2932	817
782	2935	813
783	2937	809
784	2939	805
785	2942	801
786	2944	796
787	2947	792
788	2949	788
789	2951	784
790	2954	780
791	2956	776
792	2963	773
793	2966	769
794	2969	765
795	2972	761
796	2980	759
797	2983	755
798	2988	751
799	2996	749
800	2999	745
801	3002	741
802	3011	738
803	3014	734
804	3016	730
805	3018	726
806	3024	723
807	3026	719
808	3029	715
809	3031	711
810	3033	706
811	3036	702
812	3038	698
813	3041	694
814	3043	690
815	3045	686
816	3052	683
817	3054	679
818	3057	675
819	3059	671
820	3061	667
821	3070	665
822	3075	661
823	3077	657
824	3083	654
825	3086	650
826	3089	646
827	3093	642
828	3107	641
829	3110	637
830	3112	632
831	3115	629
832	3117	624
833	3123	621
834	3126	617
835	3128	613
836	3130	609
837	3133	605
838	3139	602
839	3141	598
840	3143	594
841	3146	590
842	3148	586
843	3156	583
844	3160	579
845	3162	575
846	3167	572
847	3170	568
848	3173	564
849	3175	560
850	3177	556
851	3183	552
852	3185	549
853	3188	545
854	3190	541
855	3192	537
856	3195	533
857	3198	529
858	3200	525
859	3202	521
860	3204	517
861	3207	513
862	3213	510
863	3215	506
864	3217	502
865	3220	498
866	3222	494
867	3228	491
868	3231	487
869	3233	483
870	3235	479
871	3238	475
872	3244	472
873	3247	468
874	3249	464
875	3251	460
876	3263	457
877	3274	454
878	3276	451
879	3279	447
880	3374	455
881	3377	451
882	3380	447
883	3389	444
884	3395	441
885	3402	437
886	3405	433
887	3446	434
888	3448	430
889	3454	426
890	3457	422
891	3460	418
892	3462	414
893	3464	410
894	3473	407
895	3479	403
896	3491	400
897	3499	397
898	3502	393
899	3504	389
900	3506	385
901	3509	381
902	3511	377
903	3514	373
904	3516	369
905	3518	365
906	3524	361
907	3526	357
908	3529	353
909	3531	349
910	3533	345
911	3536	341
912	3538	337
913	3541	333
914	3543	329
915	3545	325
916	3548	321
917	3551	317
918	3553	313
919	3555	309
920	3557	305
921	3567	301
922	3569	297
923	3572	293
924	3577	290
925	3580	286
926	3584	282
927	3588	278
928	3594	274
929	3606	271
930	3609	267
931	3611	263
932	3613	259
933	3616	255
934	3622	251
935	3624	247
936	3627	243
937	3629	239
938	3631	235
939	3637	232
940	3639	228
941	3642	224
942	3644	220
943	3646	216
944	3653	212
945	3659	208
946	3661	204
947	3663	200
948	3669	197
949	3672	193
950	3674	189
951	3676	185
952	3679	181
953	3685	177
954	3687	173
955	3690	169
956	3692	165
957	3694	161
958	3700	158
959	3703	154
960	3705	150
961	3707	146
962	3710	142
963	3716	138
964	3718	134
965	3721	130
966	3723	127
967	3725	123
968	3731	119
969	3734	115
970	3736	111
971	3739	107
972	3741	103
973	3748	100
974	3750	96
975	3752	92
976	3755	88
977	3757	84
978	3759	80
979	3762	76
980	3768	72
981	3771	69
982	3781	65
983	3786	61
984	3788	57
985	3795	53
986	3797	50
987	3799	46
988	3802	42
989	3804	38
990	3811	34
991	3815	30
992	3818	26
993	3827	23
994	3831	19
995	3835	15
996	3843	11
997	3848	7
998	3851	3
999	3853	0
